_identifiers-1	_parent_digital_objects-1.identifier	_digital_object_type.string_key	Master assets filenames	_import_file.original_file_path	_import_file.import_path	_import_file.import_type	Service (Mezzanine) assets filenames	_import_file.service_copy_import_path	_import_file.service_copy_import_type	Access (Streaming) assets filenames	_import_file.access_copy_import_path	_project.string_key	_publish	_publish_targets-1.string_key	_restrictions.restricted_size_image	abstract-1:abstract_value	accession_number-1:accession_number_value	alternative_title-1:alternative_title_value	archivesspace_identifier-1:archivesspace_identifier_value	clio_identifier-1:clio_identifier_value	collection-1:collection_term.value	collection-1:collection_term.uri	collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_title	collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_type	collection-1:collection_archival_series-1:collection_archival_series_part-1:collection_archival_series_part_level	collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_title	collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_type	collection-1:collection_archival_series-1:collection_archival_series_part-2:collection_archival_series_part_level	collection-1:collection_archival_series-1:collection_archival_series_part-3:collection_archival_series_part_title	collection-1:collection_archival_series-1:collection_archival_series_part-3:collection_archival_series_part_type	collection-1:collection_archival_series-1:collection_archival_series_part-3:collection_archival_series_part_level	coordinates-1:coordinates_value	copyright_note-1:copyright_note_value	culture-1:culture_term.value	date_created_textual-1:date_created_textual_value	date_created-1:date_created_start_value	date_created-1:date_created_end_value	date_created-1:date_created_type	date_created-1:date_created_key_date	digital_origin-1:digital_origin_value	embargo_release_date-1:embargo_release_date_value	extent-1:extent_value	extent-2:extent_value	form-1:form_term.value	frequency-1:frequency_term.authority	genre-1:genre_term.value	internal_note-1:internal_note_value	internal_note-2:internal_note_value	internal_note-3:internal_note_value	internal_note-4:internal_note_value	internal_note-5:internal_note_value	internal_note-6:internal_note_value	internal_note-7:internal_note_value	internal_note-8:internal_note_value	internal_note-9:internal_note_value	language-1:language_term.value	location-1:location_term.value	location-1:location_term.uri	location-1:location_shelf_location-1:location_shelf_location_box_number	location-1:location_shelf_location-1:location_shelf_location_folder_number	location-1:location_shelf_location-1:location_shelf_location_free_text	location-1:location_shelf_location-1:location_shelf_location_item_number	location-1:location_sublocation	name-1:name_term.value	name-1:name_usage_primary	note-1:note_type	note-1:note_value	note-2:note_type	note-2:note_value	note-3:note_type	note-3:note_value	note-4:note_type	note-4:note_value	note-5:note_type	note-5:note_value	note-6:note_type	note-6:note_value	note-7:note_type	note-7:note_value	note-8:note_type	note-8:note_value	note-9:note_type	note-9:note_value	note-10:note_type	note-10:note_value	note_derived_from-1:note_derived_from_value	object_in_context_url-1:object_in_context_url_value	omeka_identifier-1:omeka_identifier_value	order_number-1:order_number_value	place_of_origin-1:place_of_origin_value	publish_note-1:publish_note_value	publisher-1:publisher_value	restriction_on_access-1:restriction_on_access_value	restriction_on_access-1:restriction_on_access_location-1:restriction_on_access_location_term.value	restriction_on_access-2:restriction_on_access_affiliation-1:restriction_on_access_affiliation_value	restriction_on_access-2:restriction_on_access_value	series-1:series_title	series-1:series_issn	series-1:series_number	subject_geographic-1:subject_geographic_term.value	subject_hierarchical_geographic-1:subject_hierarchical_geographic_country_text_value	subject_hierarchical_geographic-1:subject_hierarchical_geographic_region_text_value	subject_hierarchical_geographic-1:subject_hierarchical_geographic_state_text_value	subject_hierarchical_geographic-1:subject_hierarchical_geographic_area-1:subject_hierarchical_geographic_area_value	subject_hierarchical_geographic-1:subject_hierarchical_geographic_county_text_value	subject_hierarchical_geographic-1:subject_hierarchical_geographic_borough_text_value	subject_hierarchical_geographic-1:subject_hierarchical_geographic_city-1:subject_hierarchical_geographic_city_value	subject_hierarchical_geographic-1:subject_hierarchical_geographic_neighborhood_text_value	subject_hierarchical_geographic-1:subject_hierarchical_geographic_zip_code_text_value	subject_hierarchical_geographic-1:subject_hierarchical_geographic_street-1:subject_hierarchical_geographic_street_value	subject_name-1:subject_name_term.value	subject_title-1:subject_title_term.value	subject_topic-1:subject_topic_term.value	table_of_contents_value	title-1:title_non_sort_portion	title-1:title_sort_portion	type_of_resource-1:type_of_resource_value	use_and_reproduction-1:use_and_reproduction_term.value
RBML_BobFass_11749061_BF0953_01		item										TBM	TRUE	DLC	Not applicable to sound recording	Summary provided during digitization: Steven Ben Israel	cul:artProperties_1987.001	This could have been the title	cul:as:id_001	8276931	Bob Fass papers, circa 1960-2011	http://id.library.columbia.edu/term/cb3164d0-5fb5-4f85-aa7c-767308f2f4cb	Series I: Radio Unnameable, 1963-2011	series	1	Subseries I.2: Radio Unnameable, 1970-1977	subseries	2	Sub-subseries I: Free-form radio, 1965-1983	otherlevel:sub-subseries	3	40.8071016,-73.9575438	Copyright for this file is very complicated	Asuka;Achaean	circa 1975 December 12 - 1999 December 31	1975-12-12	1999-12-31	approximate	TRUE	reformatted digital	2100-01-01	00:38:59.498	39 minutes	sound recordings;mixed materials		Radio call-in shows;Popular music radio programs	Barcode: PRES029130		Notes on quality and contents: last minute is silence		Year digitized: 2019	Condition note: Mold	New white box			English	Rare Book & Manuscript Library, Columbia University		Box 26	testSet_Folder_001	Misc. Box 11	testSet_BF0001	Archives	Fass, Bob, 1933---Host--Former owner;Bad Brains (Musical group)--Performer	TRUE	BF number	BF0953	Original format	"1/4"" open-reel audio"	Dimensions	"7"" reel"	Base material	Polyester	Acquisition	Gift of Bob Fass	Additional physical form	Compact disc			Language	English; interview portion is in Navajo with simultaneous English interpretation								cul:pdcd:customOrder_001	New York (N.Y.)		WBAI Radio (New York, N.Y.)					Radio unnameable	1778-0234	1	New York (N.Y.);Sibiu (Romania)	United States of America	North America	New York	Northeast	New York	Manhattan	New York	Morningside Heights	10027	114th Street	Abolafia, Louis;Ackles, David;Agnew, Spiro T., 1918-1996;Albert, Stewart Edward, 1939-2006	Katchor, Ben. Julius Knipl (Radio program);Subotnick, Morton. Works. Selections (Mode)	Presidents--Assassination;Documentary films;!Kung (African people);Prisons and race relations;Privacy, Right of	Part 1 -- Part 2 -- Part 3	The	Radio Unnameable 1975 December 12	sound recording	In copyright
RBML_BobFass_11749061_BF0953_01_001	RBML_BobFass_11749061_BF0953_01	asset	RBML_BobFass_11749061_BF0953_01_01_m.wav	RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF0953/Master/RBML_BobFass_11749061_BF0953_01_01_m.wav	/digital/ingest/RBML/digitized/RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF0953/Master/RBML_BobFass_11749061_BF0953_01_01_m.wav	external	RBML_BobFass_11749061_BF0953_01_01_s.wav	/digital/ingest/RBML/digitized/RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF0953/Service/RBML_BobFass_11749061_BF0953_01_01_s.wav	external	RBML_BobFass_11749061_BF0953_01_01_s.mp3	/digital/ingest/RBML/digitized/RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF0953/Streaming/RBML_BobFass_11749061_BF0953_01_01_s.mp3	TBM	TRUE	DLC	Not applicable to sound recording	Summary provided during digitization: Steven Ben Israel		This could have been the title															Copyright for this file is very complicated							reformatted digital	2100-01-01	00:38:59.498	39 minutes				Barcode: PRES029130		Notes on quality and contents: last minute is silence		Year digitized: 2019	Condition note: Mold	New white box													BF number	BF0953	Original format	"1/4"" open-reel audio"	Dimensions	"7"" reel"	Base material	Polyester	Acquisition	Gift of Bob Fass	Additional physical form	Compact disc			Language	English; interview portion is in Navajo with simultaneous English interpretation					/digital/ingest/RBML/digitized/RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF0953/Master/RBML_BobFass_11749061_BF0953_01_01_master.wav	https://example.org/cul-omeka/001	cul-omeka/001	cul:pdcd:customOrder_001		Do Not Publish - This asset should be preserved but not displayed to the public.		On-site Access	Reading Room, Rare Book & Manuscript Library, Columbia University	Current staff, faculty, students	Reading room only																			The	Radio Unnameable 1975 December 12		In copyright
RBML_BobFass_11749061_BF1091_01		item										TBM	TRUE	DLC	Not applicable to sound recording	Summary provided during digitization: Barbara Cantardi	cul:artProperties_1987.002		cul:as:id_002	8276932	Bob Fass papers, circa 1960-2011	http://id.library.columbia.edu/term/cb3164d0-5fb5-4f85-aa7c-767308f2f4cb	Series I: Radio Unnameable, 1963-2011	series	1	Subseries I.2: Radio Unnameable, 1970-1977	subseries	2	Sub-subseries I: Free-form radio, 1965-1983	otherlevel:sub-subseries	3	40.8071016,-73.9575438	Copyright for this file is very complicated	Nara;Aeolian	1976 January 09 - 1999 December 31?	1976-01-09	1999-12-31	questionable	TRUE	reformatted digital		00:37:29.813	37 minutes	sound recordings;mixed materials		Radio call-in shows;Popular music radio programs	Barcode: PRES016209	Physical object sequence number: 1771 ; Number of physical objects in title: 6			Year digitized: 2019					English	Rare Book & Manuscript Library, Columbia University		Box 30	testSet_Folder_002	Unknown Box 3	testSet_BF0002	Archives	Fass, Bob, 1933---Host--Former owner;Amram, David--Performer--Speaker	TRUE	BF number	BF1091	Original format	"1/4"" open-reel audio"	Dimensions	"7"" reel"	Base material	Acetate and polyester	Acquisition	Gift of Bob Fass							Copy-specific note	"RBML copy: Inscribed at top right in blue ink: ""My dear Bob, all the best.  Bob Dylan, 73"						cul:pdcd:customOrder_002	New York (N.Y.)		WBAI Radio (New York, N.Y.)					Radio unnameable	1778-0234	2	Chicago (Ill.);Brașov (Romania)	United States of America	North America	New York	Northeast	New York	Manhattan	New York	Morningside Heights	10027	114th Street	Albertson, Chris;Allende Gossens, Salvador, 1908-1973;Alperin, Matt;Alpert, Jane	Imus, Don. One sacred chicken to go;Riley, Terry, 1935- Instrumental music. Selections (Organ of Corti (Sound recording label)	Psychiatric hospitals;Natural foods;Psychotropic drugs;Legislative bodies--Television broadcasting of proceedings;African American mayors		A	Radio Unnameable 1976 January 09	sound recording	In copyright
RBML_BobFass_11749061_BF1091_01_001	RBML_BobFass_11749061_BF1091_01	asset	RBML_BobFass_11749061_BF1091_01_01_m.wav	RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF1091/Master/RBML_BobFass_11749061_BF1091_01_01_m.wav	/digital/ingest/RBML/digitized/RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF1091/Master/RBML_BobFass_11749061_BF1091_01_01_m.wav	external	RBML_BobFass_11749061_BF1091_01_01_s.wav	/digital/ingest/RBML/digitized/RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF1091/Service/RBML_BobFass_11749061_BF1091_01_01_s.wav	external	RBML_BobFass_11749061_BF1091_01_01_s.mp3	/digital/ingest/RBML/digitized/RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF1091/Streaming/RBML_BobFass_11749061_BF1091_01_01_s.mp3	TBM	TRUE	DLC	Not applicable to sound recording	Summary provided during digitization: Barbara Cantardi																	Copyright for this file is very complicated							reformatted digital		00:37:29.813	37 minutes				Barcode: PRES016209	Physical object sequence number: 1771 ; Number of physical objects in title: 6			Year digitized: 2019															BF number	BF1091	Original format	"1/4"" open-reel audio"	Dimensions	"7"" reel"	Base material	Acetate and polyester	Acquisition	Gift of Bob Fass							Copy-specific note	"RBML copy: Inscribed at top right in blue ink: ""My dear Bob, all the best.  Bob Dylan, 73"			/digital/ingest/RBML/digitized/RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF1091/Master/RBML_BobFass_11749061_BF1091_01_01_master.wav	https://example.org/cul-omeka/002	cul-omeka/002	cul:pdcd:customOrder_002		Do Not Publish - This asset should be preserved but not displayed to the public.		On-site Access	Reading Room, Rare Book & Manuscript Library, Columbia University	Current staff, faculty, students	Reading room only																			A	Radio Unnameable 1976 January 09		In copyright
RBML_BobFass_11749061_BF2516_01		item										TBM	TRUE	DLC	Not applicable to sound recording	Finding aid content summary: Recorded music	cul:artProperties_1987.003	Maybe this would be a better title	cul:as:id_003	8276933	Bob Fass papers, circa 1960-2011	http://id.library.columbia.edu/term/cb3164d0-5fb5-4f85-aa7c-767308f2f4cb	Series I: Radio Unnameable, 1963-2011	series	1	Subseries I.2: Radio Unnameable, 1970-1977	subseries	2	Sub-subseries I: Free-form radio, 1965-1983	otherlevel:sub-subseries	3	40.8071016,-73.9575438	Copyright for this file is very complicated	Heian;Early Archaic	1976 January 16 - 1999 December 31	1976-01-16	1999-12-31	inferred	TRUE	reformatted digital		00:38:31.509	39 minutes	sound recordings;mixed materials		Radio call-in shows;Popular music radio programs	Barcode: CCOH023710				Year digitized: 2019					English	Rare Book & Manuscript Library, Columbia University		Box 74	testSet_Folder_003		testSet_BF0003	Archives	Fass, Bob, 1933---Host--Former owner;Band (Musical group)--Performer	TRUE	BF number	BF2516	Original format	"1/4"" open-reel audio"	Dimensions	"7"" reel"	Base material	Polyester	Acquisition	Gift of Bob Fass			Creation/production credits	Produced by Paul Gorman; Engineering by Jane Doe					Bibliography	Includes no bibliographical references				cul:pdcd:customOrder_003	New York (N.Y.)		WBAI Radio (New York, N.Y.)					Radio unnameable	1778-0234	3	Los Angeles (Calif.);Cluj (Romania)	United States of America	North America	New York	Northeast	New York	Manhattan	New York	Morningside Heights	10027	114th Street	Amacker, Robert, 1944-;American Agricultural Movement;American Indian Movement;Ames, David	Dylan, Bob, 1941- Blonde on blonde;Subotnick, Morton. 4 butterflies	Birth control;Freedom of information;Public-access television;Publishers and publishing;Bombings;Bribery;Judicial error;Smoking cessation	Part 1 -- Part 2 -- Part 3	An	Radio Unnameable 1976 January 16	sound recording	In copyright
RBML_BobFass_11749061_BF2516_01_001	RBML_BobFass_11749061_BF2516_01	asset	RBML_BobFass_11749061_BF2516_01_01_m.wav	RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF2516/Master/RBML_BobFass_11749061_BF2516_01_01_m.wav	/digital/ingest/RBML/digitized/RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF2516/Master/RBML_BobFass_11749061_BF2516_01_01_m.wav	external	RBML_BobFass_11749061_BF2516_01_01_s.wav	/digital/ingest/RBML/digitized/RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF2516/Service/RBML_BobFass_11749061_BF2516_01_01_s.wav	external	RBML_BobFass_11749061_BF2516_01_01_s.mp3	/digital/ingest/RBML/digitized/RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF2516/Streaming/RBML_BobFass_11749061_BF2516_01_01_s.mp3	TBM	TRUE	DLC	Not applicable to sound recording	Finding aid content summary: Recorded music		Maybe this would be a better title															Copyright for this file is very complicated							reformatted digital		00:38:31.509	39 minutes				Barcode: CCOH023710				Year digitized: 2019															BF number	BF2516	Original format	"1/4"" open-reel audio"	Dimensions	"7"" reel"	Base material	Polyester	Acquisition	Gift of Bob Fass			Creation/production credits	Produced by Paul Gorman; Engineering by Jane Doe					Bibliography	Includes no bibliographical references	/digital/ingest/RBML/digitized/RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF2516/Master/RBML_BobFass_11749061_BF2516_01_01_master.wav	https://example.org/cul-omeka/003	cul-omeka/003	cul:pdcd:customOrder_003		Do Not Publish - This asset should be preserved but not displayed to the public.		On-site Access	Reading Room, Rare Book & Manuscript Library, Columbia University	Current staff, faculty, students	Reading room only																			An	Radio Unnameable 1976 January 16		In copyright
RBML_BobFass_11749061_BF1954_01		item										TBM	TRUE	DLC	Not applicable to sound recording	Summary provided during digitization: Readings from January 7, 1998	cul:artProperties_1987.004		cul:as:id_004	8276934	Bob Fass papers, circa 1960-2011	http://id.library.columbia.edu/term/cb3164d0-5fb5-4f85-aa7c-767308f2f4cb	Series I: Radio Unnameable, 1963-2011	series	1	Subseries I.2: Radio Unnameable, 1970-1977	subseries	2	Sub-subseries I: Free-form radio, 1965-1983	otherlevel:sub-subseries	3	40.8071016,-73.9575438	Copyright for this file is very complicated	Kamakura;Middle Archaic	1976 January 25 - 1999 December 31	1976-01-25	1999-12-31		TRUE	reformatted digital		00:37:54.816	38 minutes	sound recordings;mixed materials		Radio call-in shows;Popular music radio programs	Barcode: PRES019348	Physical object sequence number: 1570 ; Number of physical objects in title: 9			Year digitized: 2019					English	Rare Book & Manuscript Library, Columbia University		Box 59	testSet_Folder_004	1976 Box 12	testSet_BF0004	Archives	Fass, Bob, 1933---Host--Former owner;Ben Israel, Steve--Speaker	TRUE	BF number	BF1954	Original format	"1/4"" open-reel audio"	Dimensions	"7"" reel"	Base material	Polyester	Acquisition	Gift of Bob Fass														cul:pdcd:customOrder_004	New York (N.Y.)		WBAI Radio (New York, N.Y.)					Radio unnameable	1778-0234	4	Berlin (Germany);Târgu Mureș (Romania)	United States of America	North America	New York	Northeast	New York	Manhattan	New York	Morningside Heights	10027	114th Street	Ames, Genie;Amram, David;Andersen, Eric;Angeles, Bill	Dylan, Bob, 1941- Blood on the tracks;Subotnick, Morton. After the butterfly	Racism;Cigarettes;Radio and music;Performing arts festivals;Solar eclipses;Radio broadcasting--Social aspects;Radio producers and directors;Radio stations--Licenses			Radio Unnameable 1976 January 25	sound recording	In copyright
RBML_BobFass_11749061_BF1954_01_001	RBML_BobFass_11749061_BF1954_01	asset	RBML_BobFass_11749061_BF1954_01_01_m.wav	RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF1954/Master/RBML_BobFass_11749061_BF1954_01_01_m.wav	/digital/ingest/RBML/digitized/RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF1954/Master/RBML_BobFass_11749061_BF1954_01_01_m.wav	external	RBML_BobFass_11749061_BF1954_01_01_s.wav	/digital/ingest/RBML/digitized/RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF1954/Service/RBML_BobFass_11749061_BF1954_01_01_s.wav	external	RBML_BobFass_11749061_BF1954_01_01_s.mp3	/digital/ingest/RBML/digitized/RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF1954/Streaming/RBML_BobFass_11749061_BF1954_01_01_s.mp3	TBM	TRUE	DLC	Not applicable to sound recording	Summary provided during digitization: Readings from January 7, 1998																	Copyright for this file is very complicated							reformatted digital		00:37:54.816	38 minutes				Barcode: PRES019348	Physical object sequence number: 1570 ; Number of physical objects in title: 9			Year digitized: 2019															BF number	BF1954	Original format	"1/4"" open-reel audio"	Dimensions	"7"" reel"	Base material	Polyester	Acquisition	Gift of Bob Fass											/digital/ingest/RBML/digitized/RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF1954/Master/RBML_BobFass_11749061_BF1954_01_01_master.wav	https://example.org/cul-omeka/004	cul-omeka/004	cul:pdcd:customOrder_004		Do Not Publish - This asset should be preserved but not displayed to the public.		On-site Access	Reading Room, Rare Book & Manuscript Library, Columbia University	Current staff, faculty, students	Reading room only																				Radio Unnameable 1976 January 25		In copyright
RBML_BobFass_11749061_BF2553_01		item										TBM	TRUE	DLC	Not applicable to sound recording	Finding aid content summary: Bob and callers continues to discuss Mae Brussell's accusation of I. F. Stone, Gorhman program, position of the Village Voice; Male caller reads Voice advertisement in the New York Times; Jean Herman defends Bob Fass, Flo Kennedy, and Mae Brussell, and asks for people to separate from the distraction of the allegation; Bob discusses working with a student	cul:artProperties_1987.005		cul:as:id_005	8276935	Bob Fass papers, circa 1960-2011	http://id.library.columbia.edu/term/cb3164d0-5fb5-4f85-aa7c-767308f2f4cb	Series I: Radio Unnameable, 1963-2011	series	1	Subseries I.2: Radio Unnameable, 1970-1977	subseries	2	Sub-subseries I: Free-form radio, 1965-1983	otherlevel:sub-subseries	3	40.8071016,-73.9575438	Copyright for this file is very complicated	Muromachi;Late Archaic	1976 January 25 - 1999 December 31	1976-01-25	1999-12-31		TRUE	reformatted digital		00:29:05.664	29 minutes	sound recordings;mixed materials		Radio call-in shows;Popular music radio programs	Barcode: CCOH023884	Physical object sequence number: 1316 ; Number of physical objects in title: 9			Year digitized: 2019					English	Rare Book & Manuscript Library, Columbia University		Box 75	testSet_Folder_005	1976 Box 4	testSet_BF0005	Archives	Fass, Bob, 1933---Host--Former owner;Boyle, T. Coraghessan--Speaker	TRUE	BF number	BF2553	Original format	"1/4"" open-reel audio"	Dimensions	"7"" reel"	Base material	Polyester	Acquisition	Gift of Bob Fass														cul:pdcd:customOrder_005	New York (N.Y.)		WBAI Radio (New York, N.Y.)					Radio unnameable	1778-0234	5	Paris (France);Timișoara (Romania)	United States of America	North America	New York	Northeast	New York	Manhattan	New York	Morningside Heights	10027	114th Street	Argüelles, José, 1939-2011;Arranmore (Musical group);Artis, John;Assassination Information Bureau	Dylan, Bob, 1941- Blowin' in the wind;Subotnick, Morton. All my hummingbirds have alibis	Religion and state;Radio talk show hosts;Organ grinders;Civil rights demonstrations;Radio talk shows;Armed Forces	Part 1 -- Part 2 -- Part 3		Radio Unnameable 1976 January 25	sound recording	In copyright
RBML_BobFass_11749061_BF2553_01_001	RBML_BobFass_11749061_BF2553_01	asset	RBML_BobFass_11749061_BF2553_01_01_m.wav	RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF2553/Master/RBML_BobFass_11749061_BF2553_01_01_m.wav	/digital/ingest/RBML/digitized/RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF2553/Master/RBML_BobFass_11749061_BF2553_01_01_m.wav	external	RBML_BobFass_11749061_BF2553_01_01_s.wav	/digital/ingest/RBML/digitized/RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF2553/Service/RBML_BobFass_11749061_BF2553_01_01_s.wav	external	RBML_BobFass_11749061_BF2553_01_01_s.mp3	/digital/ingest/RBML/digitized/RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF2553/Streaming/RBML_BobFass_11749061_BF2553_01_01_s.mp3	TBM	TRUE	DLC	Not applicable to sound recording	Finding aid content summary: Bob and callers continues to discuss Mae Brussell's accusation of I. F. Stone, Gorhman program, position of the Village Voice; Male caller reads Voice advertisement in the New York Times; Jean Herman defends Bob Fass, Flo Kennedy, and Mae Brussell, and asks for people to separate from the distraction of the allegation; Bob discusses working with a student																	Copyright for this file is very complicated							reformatted digital		00:29:05.664	29 minutes				Barcode: CCOH023884	Physical object sequence number: 1316 ; Number of physical objects in title: 9			Year digitized: 2019															BF number	BF2553	Original format	"1/4"" open-reel audio"	Dimensions	"7"" reel"	Base material	Polyester	Acquisition	Gift of Bob Fass											/digital/ingest/RBML/digitized/RBML_BobFass/RBML_BobFass_Batch8/RBML_BobFass_11749061_BF2553/Master/RBML_BobFass_11749061_BF2553_01_01_master.wav	https://example.org/cul-omeka/005	cul-omeka/005	cul:pdcd:customOrder_005		Do Not Publish - This asset should be preserved but not displayed to the public.		On-site Access	Reading Room, Rare Book & Manuscript Library, Columbia University	Current staff, faculty, students	Reading room only																				Radio Unnameable 1976 January 25		In copyright
